"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"hsa05160","Human Diseases","Infectious disease: viral","hsa05160","Hepatitis C","28/1022","159/9446",0.176100628930818,1.62763849401223,2.77995432837503,0.00625650237343896,0.0189949666653057,0.0105016682797411,"8837/4609/57506/5894/5010/5295/6774/836/4939/8503/3434/1026/4792/1019/5516/5290/5604/7187/5293/6655/10197/4893/1021/7157/5970/7529/5595/4940",28
"hsa05135","Human Diseases","Infectious disease: bacterial","hsa05135","Yersinia infection","25/1022","138/9446",0.181159420289855,1.6743951898806,2.7796689115564,0.00657511241967836,0.0196295987359327,0.0108525346751838,"10092/9475/64283/10093/5295/5881/6196/60/8503/9815/4792/5602/6093/5290/5604/10096/5293/5606/71/3725/23365/10094/5970/5595/2185",25
"hsa00564","Metabolism","Lipid metabolism","hsa00564","Glycerophospholipid metabolism","20/1022","103/9446",0.194174757281553,1.79469154332833,2.82449805094543,0.00658203162362135,0.0196295987359327,0.0108525346751838,"10423/5833/5321/10555/8613/54675/151056/160851/8611/142891/8760/84803/23761/10162/196051/253558/166929/9791/129642/8525",20
"hsa04066","Environmental Information Processing","Signal transduction","hsa04066","HIF-1 signaling pathway","21/1022","110/9446",0.190909090909091,1.76450809464508,2.80908744755452,0.00665694005536083,0.0196788491110228,0.010879763525382,"5295/6774/3162/2475/7422/8503/815/1026/3480/5290/5604/5336/3939/5293/2034/3459/3570/5970/6921/5595/5162",21
"hsa05162","Human Diseases","Infectious disease: viral","hsa05162","Measles","25/1022","139/9446",0.179856115107914,1.66234918132031,2.74003933199539,0.00721894776035007,0.021154655610765,0.0116956865316427,"896/57506/5295/6774/6777/6776/836/3310/4939/8503/4792/5602/1019/7128/5290/7187/3592/5293/3725/27113/1021/7157/4793/5970/4940",25
"hsa04261","Organismal Systems","Circulatory system","hsa04261","Adrenergic signaling in cardiomyocytes","27/1022","154/9446",0.175324675324675,1.6204666175312,2.70390500861777,0.00761136089751821,0.0221123157108934,0.0122251440912951,"783/90993/9586/147/488/9252/5500/6324/7171/476/196883/114/815/5567/5516/801/6332/7169/11149/6546/7139/1385/5499/64764/23236/490/5595",27
"hsa04925","Organismal Systems","Endocrine system","hsa04925","Aldosterone synthesis and secretion","19/1022","98/9446",0.193877551020408,1.7919445664763,2.74483169149669,0.00809543084720322,0.023317608508611,0.0128915093113358,"90993/9586/3164/476/5581/5587/196883/114/57118/815/5567/801/3709/814/1385/64764/23236/747/490",19
"hsa05414","Human Diseases","Cardiovascular disease","hsa05414","Dilated cardiomyopathy","20/1022","105/9446",0.19047619047619,1.76050694250303,2.72940759949347,0.00817887499979547,0.0233583124994159,0.0129140131575718,"783/3908/488/7171/7042/8515/6444/196883/60/114/5567/3673/1837/3696/7169/71/6443/8516/6546/7139",20
"hsa00561","Metabolism","Lipid metabolism","hsa00561","Glycerolipid metabolism","14/1022","65/9446",0.215384615384615,1.99072708113804,2.79160131804535,0.00858926427928038,0.0243242190093907,0.013448029875565,"57104/224/10555/8613/160851/8611/219/84803/196051/253558/3990/129642/217/8525",14
"hsa05410","Human Diseases","Cardiovascular disease","hsa05410","Hypertrophic cardiomyopathy","19/1022","99/9446",0.191919191919192,1.77384411630987,2.69589026715036,0.00903313463962978,0.0253680531129603,0.0140251300983726,"783/5562/3908/488/7171/7042/8515/51422/6444/60/3673/1837/3696/7169/71/6443/8516/6546/7139",19
"hsa04020","Environmental Information Processing","Signal transduction","hsa04020","Calcium signaling pathway","40/1022","254/9446",0.15748031496063,1.4555372359277,2.56332092448832,0.00926591743042192,0.0258067287111751,0.0142676588532812,"147/488/624/2668/623/5027/3269/196883/7422/114/57620/57118/815/7417/5567/56034/27006/3082/801/5159/219931/845/5336/5255/5154/3709/6546/3707/814/7424/1129/444/23236/5156/5737/2263/4803/7942/490/2185",40
