symbol,log2FoldChange,padj,A_Sham_4,A_Sham_5,A_Sham_6,A_svd_4,A_svd_5,A_svd_6
Mansc4,0.483,0.492,0.189,0.000,2.139,3.444,0.686,0.800
Maoa,0.369,0.205,40.645,23.401,18.946,33.895,40.413,39.273
Maob,-0.090,0.659,26.857,17.049,14.966,17.191,16.065,19.523
Map10,-0.398,0.428,1.743,6.528,0.581,1.335,1.603,1.076
Map1a,-0.262,0.014,23.174,28.840,27.836,20.314,18.905,18.179
Map1b,-0.024,0.908,10.513,15.604,6.893,11.233,10.210,10.130
Map1lc3a,-0.273,0.057,211.647,229.240,283.080,170.168,182.604,167.818
Map1lc3b,-0.112,0.088,87.097,100.681,79.657,78.307,76.831,78.924
Map1s,-0.130,0.568,10.429,12.121,17.378,7.423,13.086,13.560
Map2,0.126,0.619,23.429,30.183,11.454,26.459,22.572,23.226
Map2k1,0.119,0.622,27.323,19.076,40.060,30.471,31.606,34.650
Map2k2,-0.207,0.259,67.184,78.582,107.800,61.594,65.356,71.948
Map2k3,0.182,0.277,21.887,23.640,23.771,22.193,25.549,33.840
Map2k3os,0.451,0.416,0.979,0.000,0.000,0.438,0.263,2.075
Map2k4,0.354,0.161,14.810,10.951,6.569,14.366,15.796,14.093
Map2k5,0.141,0.622,15.364,5.835,13.346,11.414,12.421,15.840
Map2k6,-0.323,0.532,4.766,13.054,1.301,4.002,2.399,5.252
Map2k7,-0.076,0.664,18.665,33.399,32.744,24.709,24.917,27.490
Map3k1,0.212,0.285,5.979,4.149,2.970,5.960,5.238,5.116
Map3k10,-0.106,0.711,15.394,24.505,39.300,22.200,24.126,23.623
Map3k11,-0.118,0.615,44.731,39.049,72.883,48.846,46.743,41.468
Map3k12,0.134,0.544,22.484,27.398,11.940,21.789,22.537,24.946
Map3k13,-0.354,0.108,1.419,1.194,2.511,0.944,0.877,0.406
Map3k14,0.256,0.326,1.228,0.000,1.259,1.336,1.297,1.276
Map3k15,-0.428,0.286,1.407,2.836,0.063,0.000,1.007,0.124
Map3k19,-0.116,0.647,0.653,2.231,0.730,0.922,1.212,0.649
Map3k2,0.487,0.086,3.784,1.514,1.872,4.076,4.058,3.889
Map3k3,0.311,0.388,21.298,7.693,26.623,20.594,24.732,28.470
Map3k4,0.121,0.676,9.352,4.161,9.018,8.442,10.978,6.058
Map3k5,-0.190,0.416,8.053,4.115,4.484,5.144,3.914,3.734
Map3k6,-0.514,0.454,3.710,8.858,35.191,3.492,4.163,14.027
Map3k7,0.009,0.961,13.919,9.239,8.502,9.368,10.131,12.132
Map3k7cl,-0.376,0.477,8.158,1.297,15.674,4.434,7.714,2.436
Map3k8,-0.061,0.793,2.303,2.540,2.645,3.676,1.876,1.212
Map3k9,-0.162,0.163,6.019,5.524,6.633,5.054,5.626,3.917
Map4,-0.027,0.751,90.216,77.532,95.710,86.631,84.222,83.131
Map4k1,-0.247,0.448,0.697,0.000,1.804,0.522,0.223,0.412
Map4k2,-0.178,0.569,23.973,11.022,33.130,17.081,17.785,20.508
Map4k3,0.206,0.304,17.639,13.637,9.624,15.180,18.648,15.491
Map4k4,0.187,0.302,42.214,27.379,39.000,47.601,37.371,43.544
Map4k5,0.535,0.059,9.932,7.051,4.939,11.621,10.069,13.144
Map6,-0.156,0.461,23.374,15.614,28.010,22.146,18.178,15.409
Map6d1,1.062,0.013,1.360,0.000,0.610,2.151,2.631,2.487
Map7,-0.168,0.315,12.269,13.590,18.137,10.045,14.131,11.595
Map7d1,-0.005,0.978,75.081,74.454,113.448,89.923,84.557,85.326
Map7d2,-0.201,0.521,5.650,13.653,5.168,5.734,5.987,6.858
Map9,-0.016,0.913,3.272,4.971,2.801,3.882,3.122,3.649
Mapk1,0.114,0.428,34.692,37.748,22.630,35.312,35.622,33.736
Mapk10,-0.044,0.811,5.938,10.510,5.685,7.220,7.176,6.263
Mapk11,0.086,0.778,7.654,3.981,11.193,6.817,7.660,10.500
Mapk12,0.526,0.153,7.473,4.440,6.435,8.278,7.531,13.550
Mapk13,0.322,0.590,0.660,0.114,0.000,1.965,0.000,0.000
Mapk14,0.049,0.755,24.757,16.157,21.633,23.316,23.294,18.639
Mapk15,-0.033,0.914,0.655,1.471,0.442,0.000,0.808,1.532
Mapk1ip1,0.017,0.955,11.051,11.858,20.250,11.825,20.626,11.190
Mapk1ip1l,0.269,0.035,11.709,11.849,9.896,15.744,14.211,12.750
Mapk3,-0.101,0.596,137.351,120.052,198.864,126.820,133.114,147.350
Mapk4,-0.079,0.546,9.829,10.085,12.371,8.731,11.785,8.689
Mapk6,0.113,0.670,14.770,8.220,6.263,9.996,10.957,11.595
Mapk7,-0.425,0.032,11.413,8.521,13.192,5.808,6.566,5.250
Mapk8,0.400,0.124,3.889,2.041,1.939,4.658,3.997,3.438
Mapk8ip1,-0.137,0.432,34.452,42.748,57.312,38.844,37.490,38.329
Mapk8ip2,0.105,0.695,9.471,8.212,17.733,12.942,13.234,13.054
Mapk8ip3,-0.084,0.696,27.505,19.549,35.898,21.188,29.509,24.643
Mapk9,-0.065,0.747,22.631,16.107,14.802,13.889,21.382,14.078
Mapkap1,-0.133,0.393,14.037,17.277,18.984,17.411,14.398,10.902
Mapkapk2,0.185,0.257,40.297,29.691,33.076,34.212,40.779,46.583
Mapkapk3,-0.051,0.788,5.128,3.404,3.794,2.457,4.027,4.948
Mapkapk5,0.214,0.510,12.190,6.050,17.714,14.856,17.115,12.167
Mapkbp1,0.122,0.803,5.315,0.586,10.049,4.572,6.434,7.314
Mapre1,0.199,0.269,19.486,19.414,11.561,21.204,17.561,21.462
Mapre2,-0.093,0.327,22.810,24.326,27.329,19.572,24.610,22.372
Mapre3,-0.102,0.491,27.876,42.717,38.635,27.608,31.190,37.721
Mapt,-0.201,0.282,88.838,114.866,106.638,80.456,55.430,108.656
Marc1,0.049,0.374,0.000,0.000,0.000,0.144,0.000,0.000
Marc2,-0.089,0.460,82.804,120.309,100.239,79.304,92.947,100.102
March1,0.197,0.375,1.467,2.722,0.815,2.128,2.092,2.239
March10,0.054,0.639,0.000,0.000,0.180,0.000,0.049,0.307
March11,1.008,0.319,0.453,0.000,2.994,6.444,0.780,2.790
March2,-0.164,0.157,58.543,61.450,48.183,38.912,45.298,54.053
March3,-0.109,0.781,0.224,4.147,4.691,1.681,2.882,3.081
March4,0.180,0.463,1.114,0.066,0.864,1.308,0.664,0.977
March5,0.200,0.110,16.872,17.193,15.944,20.478,16.777,22.664
March6,0.127,0.536,68.055,68.510,35.104,69.274,62.455,59.097
March7,0.084,0.782,7.642,12.511,4.422,6.510,11.356,8.525
March8,-0.159,0.063,23.968,22.556,20.322,20.315,17.730,17.066
March9,-0.457,0.177,13.807,34.753,15.847,11.462,10.496,10.932
